scheme_name,category_type,min_age,max_age,max_annual_income,applicable_state,social_category,occupation,gender,description,benefits,apply_link,deadline,form_link
PM Jan Vikas Karyakram Skill Component,Skill Development,18.0,,,All,Minority,Unemployed Youth,All,Skill training in minority concentration areas,Free skill training with placement support,https://www.myscheme.gov.in,,
Rashtriya Vayoshri Yojana for Rural Elderly,Health,60.0,,,All,BPL,Senior Citizen,All,Assistive devices for elderly in rural camps,Free assistive devices distribution camps,https://www.myscheme.gov.in,,
National Programme for Healthcare of the Elderly - District Component,Health,60.0,,,All,All,Senior Citizen,All,District level geriatric healthcare services,Free geriatric OPD services at district hospitals,https://www.myscheme.gov.in,,
National AYUSH Mission,Health,,,,All,All,All,All,Promotion of AYUSH systems of medicine,Access to affordable AYUSH healthcare services,https://www.myscheme.gov.in,,
"Ayurveda, Yoga and Naturopathy Promotion Scheme",Health,,,,All,All,All,All,Promotion of traditional medicine systems,Grants for AYUSH hospitals and dispensaries,https://www.myscheme.gov.in,,
PM Surya Ghar Loan Subsidy Extension,Energy,,,,All,All,All,All,Extended subsidy window for rooftop solar installation,Free electricity up to 300 units per month,https://pmsuryaghar.gov.in,,
National Bamboo Mission,Agriculture,18.0,,,All,All,Farmer,All,Promotion of bamboo cultivation and industry,Financial assistance for bamboo plantation,https://www.myscheme.gov.in,,
National Mission on Natural Farming,Agriculture,18.0,,,All,All,Farmer,All,Promotion of chemical-free natural farming,Financial assistance and training for natural farming,https://www.myscheme.gov.in,,
Rashtriya Krishi Vikas Yojana - RAFTAAR,Agriculture,18.0,,,All,All,Farmer,All,Remunerative approaches for agriculture and allied sectors,Financial support for value chain development,https://www.myscheme.gov.in,,
National Project on Organic Farming,Agriculture,18.0,,,All,All,Farmer,All,Promotion of organic inputs and farming practices,Subsidy on organic inputs and certification,https://www.myscheme.gov.in,,
PM Krishi Sinchayee Yojana - Per Drop More Crop,Agriculture,18.0,,,All,All,Farmer,All,Micro irrigation component for water use efficiency,Subsidy on drip and sprinkler irrigation systems,https://www.myscheme.gov.in,,
Integrated Scheme for Agricultural Marketing,Agriculture,18.0,,,All,All,Farmer,All,Development of agricultural marketing infrastructure,Subsidy for market yards and cold storage,https://www.myscheme.gov.in,,
National e-Governance Plan,Digital Services,,,,All,All,All,All,Delivery of government services through electronic means,Online access to government services,https://www.digitalindia.gov.in,,
Digital Village Scheme,Digital Services,,,,All,All,All,All,Digital infrastructure development in villages,Wi-Fi hotspots and digital literacy centers in villages,https://www.myscheme.gov.in,,
Deendayal Upadhyaya Swaniyojan Yojana,Financial Inclusion,18.0,,,All,All,Unemployed Youth,All,Self-employment financing scheme for youth,Subsidized loans for self-employment ventures,https://www.myscheme.gov.in,,
National Livestock Health and Disease Control Programme,Agriculture,18.0,,,All,All,Farmer,All,Livestock disease control and vaccination programme,Free vaccination and disease surveillance for livestock,https://www.myscheme.gov.in,,
Pashu Kisan Credit Card Scheme,Agriculture,18.0,,,All,All,Farmer,All,Credit facility for livestock rearing farmers,Short term credit for animal husbandry activities,https://www.myscheme.gov.in,,
National Cooperative Database and MSP Scheme for Cooperatives,Agriculture,18.0,,,All,All,Farmer,All,Strengthening of cooperative sector for farmers,Support for procurement and marketing cooperatives,https://www.myscheme.gov.in,,
PM Formalisation Scheme for Fisheries Cooperatives,Agriculture,18.0,,,All,All,Fisherman,All,Formation of fisheries cooperative societies,Financial and handholding support for fisheries cooperatives,https://www.myscheme.gov.in,,
Rashtriya Gram Swaraj Abhiyan,Rural Development,,,,All,All,All,All,Capacity building of panchayati raj institutions,Training and infrastructure support for panchayats,https://www.myscheme.gov.in,,
Sansad Adarsh Gram Yojana Phase 2,Rural Development,,,,All,All,All,All,Extended phase of model village development scheme,Convergence of schemes for village development,https://www.myscheme.gov.in,,
Pradhan Mantri Awaas Yojana Gramin - Hill Areas Component,Housing,18.0,,130000.0,All,All,BPL,All,Enhanced housing assistance for hilly and difficult areas,Additional financial assistance for house construction,https://www.myscheme.gov.in,,
National Rurban Mission Cluster Development Scheme,Rural Development,,,,All,All,All,All,Development of rural growth clusters with urban amenities,Infrastructure grants for rurban clusters,https://www.myscheme.gov.in,,
Deendayal Upadhyaya Van Bandhu Kalyan Yojana,Rural Development,,,,All,ST,All,All,Development of tribal dominated areas,Infrastructure and livelihood support in tribal areas,https://www.myscheme.gov.in,,
Pradhan Mantri Van Dhan Vikas Karyakram,Skill Development,18.0,,,All,ST,Tribal,All,Value addition to minor forest produce by tribals,Training and market linkage for forest produce,https://www.myscheme.gov.in,,
Tribal Sub Plan Scheme,Rural Development,,,,All,ST,All,All,Focused development plan for tribal areas,Convergence of schemes for tribal welfare,https://www.myscheme.gov.in,,
Scheduled Caste Sub Plan Scheme,Rural Development,,,,All,SC,All,All,Focused development plan for SC dominated areas,Convergence of schemes for SC welfare,https://www.myscheme.gov.in,,
Special Central Assistance to Scheduled Caste Sub Plan,Financial Inclusion,18.0,,,All,SC,All,All,Additional central funding for SC development projects,Financial support for income generation schemes,https://www.myscheme.gov.in,,
Special Central Assistance to Tribal Sub Plan,Financial Inclusion,18.0,,,All,ST,All,All,Additional central funding for tribal development projects,Financial support for income generation schemes,https://www.myscheme.gov.in,,
National Fellowship for Persons with Disabilities in Higher Education,Education,21.0,,,All,All,Disabled,All,Fellowship for disabled students pursuing research,Fellowship as per UGC norms,https://www.myscheme.gov.in,,
Indira Gandhi National Scheme for Disabled Persons,Social Welfare,18.0,79.0,,All,BPL,Disabled,All,Additional pension support scheme for disabled persons,Monthly pension assistance,https://www.myscheme.gov.in,,
National Programme for Rehabilitation of Persons with Disabilities,Disability Welfare,,,,All,All,Disabled,All,Community-based rehabilitation for persons with disabilities,Rehabilitation services and assistive devices,https://www.myscheme.gov.in,,
Sugamya Bharat Abhiyan,Disability Welfare,,,,All,All,Disabled,All,Accessibility campaign for public infrastructure,"Barrier-free access to buildings, transport and IT",https://www.myscheme.gov.in,,
PM Divyangjan Employment Scheme,Employment,18.0,,,All,All,Disabled,All,Employment support for persons with disabilities,Job matching and vocational training,https://www.myscheme.gov.in,,
National Handicapped Finance and Development Corporation Scheme,Financial Inclusion,18.0,,,All,All,Disabled,All,Concessional loans for disabled entrepreneurs,Low interest loans for self-employment,https://www.myscheme.gov.in,,
PM Vaya Vandana Pension Scheme for Widows,Social Welfare,40.0,,,All,BPL,All,Female,Pension support scheme for widows,Monthly pension assistance,https://www.myscheme.gov.in,,
National Widow Remarriage Incentive Scheme,Social Welfare,18.0,,,All,All,All,Female,Financial incentive to encourage widow remarriage,One-time financial incentive,https://www.myscheme.gov.in,,
Central Sector Scheme for Rehabilitation of Bonded Labour,Social Welfare,18.0,,,All,All,Laborer,All,Rehabilitation of released bonded laborers,One-time financial assistance for rehabilitation,https://www.myscheme.gov.in,,
National Child Labour Project Scheme,Child Welfare,5.0,14.0,,All,All,Student,All,Rehabilitation of child laborers through special schools,"Free education, nutrition and vocational training",https://www.myscheme.gov.in,,
